Time,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,heartratebpm/value
2021-08-22T13:22:11Z,38.415022,-78.8807399,363.4797506,
2021-08-22T13:22:13Z,38.4151723,-78.880858,363.0685681,
2021-08-22T13:22:15Z,38.4153171,-78.8809776,363.0611927,
2021-08-22T13:22:17Z,38.4154551,-78.8811033,363.2331971,
2021-08-22T13:22:18Z,38.4155207,-78.881156,363.6719399,
2021-08-22T13:22:21Z,38.4157043,-78.8812991,364.1195525,
2021-08-22T13:22:23Z,38.415824,-78.8813815,364.562797,
2021-08-22T13:22:24Z,38.4158832,-78.8814263,365.104885,
2021-08-22T13:22:27Z,38.4160408,-78.8815467,365.8035422,
2021-08-22T13:22:29Z,38.4161354,-78.8816231,366.237546,
2021-08-22T13:22:31Z,38.4162275,-78.8817107,367.0325643,
2021-08-22T13:22:33Z,38.4163065,-78.8817825,367.5225909,
2021-08-22T13:22:35Z,38.416392,-78.8818519,368.0153814,
2021-08-22T13:22:37Z,38.4164735,-78.8819177,368.4347198,
2021-08-22T13:22:39Z,38.4165411,-78.8819848,368.6819245,
2021-08-22T13:22:41Z,38.4166123,-78.8820651,369.0838952,
2021-08-22T13:22:43Z,38.4166918,-78.8821413,369.5810301,
2021-08-22T13:22:45Z,38.4167664,-78.882215,369.8924698,
2021-08-22T13:22:47Z,38.4168381,-78.8822837,370.6141204,
2021-08-22T13:22:49Z,38.416899,-78.8823366,371.0896602,
2021-08-22T13:22:51Z,38.4169649,-78.8824075,371.3542217,
2021-08-22T13:22:53Z,38.4170384,-78.8824922,371.857213,
2021-08-22T13:22:55Z,38.4171363,-78.8825954,372.3532854,
2021-08-22T13:22:57Z,38.4171397,-78.882647,372.6318887,
2021-08-22T13:22:59Z,38.4172075,-78.8827091,372.9601362,
2021-08-22T13:23:01Z,38.4172783,-78.8827698,373.2094004,
2021-08-22T13:23:03Z,38.4173673,-78.8828486,373.6282116,
2021-08-22T13:23:05Z,38.4174356,-78.882909,374.1679813,
2021-08-22T13:23:07Z,38.4175005,-78.8829638,374.5479121,
